2019-11-27 16:01:18.986 +02:00 [INF] Application starting up!
2019-11-27 16:01:31.803 +02:00 [WRN] Failed to determine the https port for redirect.
2019-11-27 16:01:32.267 +02:00 [INF] HTTP GET / responded 200 in 412.25 ms
2019-11-27 16:01:37.768 +02:00 [INF] HTTP POST /Home/CheckForUserNameAndPassowrdAsync responded 200 in 793.3574 ms
2019-11-27 16:01:38.403 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 613.7329 ms
2019-11-27 16:01:39.509 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 45.1713 ms
2019-11-27 16:01:39.557 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.7486 ms
2019-11-27 16:01:39.635 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 59.529 ms
2019-11-27 16:01:42.130 +02:00 [INF] HTTP GET /Home/LogOutAsync responded 200 in 117.3791 ms
2019-11-27 16:01:42.182 +02:00 [INF] HTTP GET /Home/Privacy responded 302 in 15.1191 ms
2019-11-27 16:01:42.197 +02:00 [INF] HTTP GET /?ReturnUrl=%2FHome%2FPrivacy responded 200 in 1.7719 ms
2019-11-27 16:01:42.504 +02:00 [INF] HTTP GET /notification?id=5Kk-WOF4gY7z93ch4xwlMw responded 101 in 2976.3438 ms
2019-11-27 16:01:45.816 +02:00 [INF] HTTP POST /Home/CheckForUserNameAndPassowrdAsync responded 200 in 116.9819 ms
2019-11-27 16:01:45.901 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 40.3679 ms
2019-11-27 16:01:46.541 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.8124 ms
2019-11-27 16:01:46.591 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 9.7967 ms
2019-11-27 16:01:46.640 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.9617 ms
2019-11-27 16:01:49.325 +02:00 [INF] HTTP GET /Home/LogOutAsync responded 200 in 23.6503 ms
2019-11-27 16:01:49.347 +02:00 [INF] HTTP GET /Home/Privacy responded 302 in 0.4681 ms
2019-11-27 16:01:49.363 +02:00 [INF] HTTP GET /?ReturnUrl=%2FHome%2FPrivacy responded 200 in 0.9137 ms
2019-11-27 16:01:49.408 +02:00 [INF] HTTP GET /notification?id=p5E3cfdcZm54BFVoBDf9VA responded 101 in 2829.0595 ms
2019-11-27 16:01:52.345 +02:00 [INF] HTTP POST /Home/CheckForUserNameAndPassowrdAsync responded 200 in 60.6646 ms
2019-11-27 16:01:52.377 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 14.4537 ms
2019-11-27 16:01:52.843 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 1.9039 ms
2019-11-27 16:01:52.891 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.424 ms
2019-11-27 16:01:52.901 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.8577 ms
2019-11-27 16:01:57.485 +02:00 [INF] HTTP GET / responded 200 in 1.2627 ms
